0	0.51
0.5	1
1	1.54
1.5	1.85
2	1.6
2.5	0.75
3	-0.32
3.5	-1.05
4	-1.13
4.5	-0.79
5	-0.51
5.5	-0.55
6	-0.8
6.5	-0.96
7	-0.87
7.5	-0.66
8	-0.46
8.5	-0.24
9	0.12
9.5	0.6
10	0.98
10.5	1.06
11	0.86
11.5	0.63
12	0.54
12.5	0.55
13	0.49
13.5	0.28
14	-0.02
14.5	-0.3
15	-0.52
15.5	-0.66
16	-0.68
16.5	-0.52
17	-0.25
17.5	-0.06
18	-0.11
18.5	-0.31
19	-0.42
19.5	-0.3
20	-0.05
20.5	0.14
21	0.24
21.5	0.39
22	0.63
22.5	0.78
23	0.57
23.5	0.01
24	-0.51
24.5	-0.57
25	-0.15
25.5	0.32
26	0.39
26.5	0.04
27	-0.34
27.5	-0.38
28	-0.09
28.5	0.19
29	0.16
29.5	-0.14
30	-0.44
30.5	-0.46
31	-0.18
31.5	0.25
32	0.58
32.5	0.7
33	0.57
33.5	0.31
34	0.05
34.5	-0.13
35	-0.27
35.5	-0.46
36	-0.76
36.5	-1.07
37	-1.15
37.5	-0.83
38	-0.11
38.5	0.77
39	1.49
39.5	1.78
40	1.55
40.5	0.94
41	0.21
41.5	-0.37
42	-0.7
42.5	-0.85
43	-0.98
43.5	-1.13
44	-1.15
44.5	-0.87
45	-0.28
45.5	0.38
46	0.84
46.5	0.99
47	0.92
47.5	0.76
48	0.56
48.5	0.27
49	-0.11
49.5	-0.45
50	-0.62
50.5	-0.61
51	-0.54
51.5	-0.51
52	-0.46
52.5	-0.21
53	0.33
53.5	1
54	1.41
54.5	1.23
55	0.45
55.5	-0.55
56	-1.24
56.5	-1.31
57	-0.85
57.5	-0.25
58	0.12
58.5	0.18
59	0.12
59.5	0.14
60	0.3
60.5	0.5
61	0.63
61.5	0.62
62	0.46
62.5	0.09
63	-0.46
63.5	-0.95
64	-1.06
64.5	-0.62
65	0.11
65.5	0.64
66	0.67
66.5	0.31
67	-0.02
67.5	-0.05
68	0.13
68.5	0.23
69	0.16
69.5	0.04
70	0
70.5	-0.03
71	-0.23
71.5	-0.59
72	-0.79
72.5	-0.59
73	-0.07
73.5	0.33
74	0.32
74.5	0.06
75	-0.02
75.5	0.26
76	0.67
76.5	0.76
77	0.44
77.5	-0.01
78	-0.2
78.5	-0.09
79	0.01
79.5	-0.14
80	-0.47
80.5	-0.71
81	-0.66
81.5	-0.4
82	-0.07
82.5	0.29
83	0.7
83.5	1.04
84	1
84.5	0.38
85	-0.6
85.5	-1.36
86	-1.41
86.5	-0.74
87	0.11
87.5	0.57
88	0.51
88.5	0.25
89	0.24
89.5	0.59
90	1.02
90.5	1.12
91	0.7
91.5	-0.06
92	-0.81
92.5	-1.28
93	-1.38
93.5	-1.2
94	-0.88
94.5	-0.47
95	0.04
95.5	0.61
96	1.13
96.5	1.39
97	1.26
97.5	0.77
98	0.18
98.5	-0.24
99	-0.39
99.5	-0.34
100	-0.23
100.5	-0.16
101	-0.18
101.5	-0.34
102	-0.7
102.5	-1.17
103	-1.45
103.5	-1.18
104	-0.26
104.5	0.94
105	1.8
105.5	1.88
106	1.32
106.5	0.6
107	0.16
107.5	0.06
108	0.05
108.5	-0.06
109	-0.24
109.5	-0.36
110	-0.42
110.5	-0.56
111	-0.83
111.5	-1.06
112	-1
112.5	-0.59
113	-0.09
113.5	0.2
114	0.19
114.5	0.09
115	0.2
115.5	0.57
116	0.99
116.5	1.19
117	1.06
117.5	0.71
118	0.32
118.5	0.02
119	-0.14
119.5	-0.2
120	-0.24
120.5	-0.42
121	-0.8
121.5	-1.27
122	-1.53
122.5	-1.28
123	-0.54
123.5	0.36
124	0.97
124.5	1.05
125	0.72
125.5	0.29
126	0.01
126.5	-0.05
127	0.04
127.5	0.22
128	0.48
128.5	0.71
129	0.75
129.5	0.48
130	-0.04
130.5	-0.48
131	-0.58
131.5	-0.35
132	-0.11
132.5	-0.22
133	-0.67
133.5	-1.08
134	-1.06
134.5	-0.55
135	0.09
135.5	0.47
136	0.53
136.5	0.51
137	0.59
137.5	0.65
138	0.41
138.5	-0.16
139	-0.67
139.5	-0.6
140	0.12
140.5	1.03
141	1.45
141.5	1.14
142	0.44
142.5	-0.1
143	-0.26
143.5	-0.29
144	-0.56
144.5	-1.15
145	-1.69
145.5	-1.77
146	-1.24
146.5	-0.38
147	0.38
147.5	0.77
148	0.78
148.5	0.62
149	0.52
149.5	0.6
150	0.78
150.5	0.88
151	0.73
151.5	0.32
152	-0.15
152.5	-0.4
153	-0.31
153.5	-0.03
154	0.19
154.5	0.17
155	-0.01
155.5	-0.17
156	-0.24
156.5	-0.39
157	-0.76
157.5	-1.31
158	-1.66
158.5	-1.42
159	-0.53
159.5	0.6
160	1.4
160.5	1.59
161	1.3
161.5	0.9
162	0.63
162.5	0.46
163	0.28
163.5	0.06
164	-0.13
164.5	-0.27
165	-0.44
165.5	-0.65
166	-0.76
166.5	-0.57
167	-0.14
167.5	0.17
168	0.01
168.5	-0.51
169	-0.87
169.5	-0.61
170	0.16
170.5	0.85
171	0.95
171.5	0.53
172	0.14
172.5	0.17
173	0.47
173.5	0.57
174	0.23
174.5	-0.34
175	-0.75
175.5	-0.77
176	-0.5
176.5	-0.12
177	0.27
177.5	0.59
178	0.69
178.5	0.4
179	-0.23
179.5	-0.85
180	-1.09
180.5	-0.84
181	-0.32
181.5	0.17
182	0.53
182.5	0.75
183	0.82
183.5	0.71
184	0.45
184.5	0.2
185	0.08
185.5	0
186	-0.2
186.5	-0.51
187	-0.63
187.5	-0.36
188	0.1
188.5	0.25
189	-0.2
189.5	-0.94
190	-1.28
190.5	-0.83
191	0.12
191.5	0.92
192	1.23
192.5	1.18
193	1.1
193.5	1.05
194	0.81
194.5	0.26
195	-0.4
195.5	-0.87
196	-1.07
196.5	-1.18
197	-1.36
197.5	-1.49
198	-1.3
198.5	-0.76
199	-0.09
199.5	0.45
200	0.86
200.5	1.27
201	1.71
201.5	2
202	1.99
202.5	1.75
203	1.44
203.5	1.06
204	0.34
204.5	-0.93
205	-2.46
205.5	-3.58
206	-3.72
206.5	-2.94
207	-1.78
207.5	-0.74
208	0.07
208.5	0.87
209	1.72
209.5	2.41
210	2.56
210.5	2.11
211	1.37
211.5	0.77
212	0.49
212.5	0.4
213	0.2
213.5	-0.25
214	-0.84
214.5	-1.28
215	-1.37
215.5	-1.09
216	-0.62
216.5	-0.21
